Skenario Eksperimen,Accuracy,Balanced Acc,Neg F1 (0),Neu F1 (1),Pos F1 (2),Macro Precision,Macro Recall,Macro F1-Score
1. Baseline (No Handling),90.43%,50.51%,0.5901,0.0814,0.9506,0.8505,0.5051,0.5407
2. Class Weight Balanced,90.40%,62.08%,0.6579,0.2939,0.9551,0.6569,0.6208,0.6356
3. Random Oversampling (ROS),85.89%,64.59%,0.6008,0.2689,0.9306,0.5710,0.6459,0.6001
4. Random Undersampling (RUS),76.40%,67.10%,0.5672,0.2222,0.8689,0.5343,0.6710,0.5528
5. SMOTE,82.57%,64.08%,0.5351,0.2582,0.9095,0.5321,0.6408,0.5676
