destination_name,total_reviews,positive_count,neutral_count,negative_count,positive_percentage,neutral_percentage,negative_percentage,category,average_rating,policy_class
Dahayu Taste,95,86,0,9,90.53,0.0,9.47,Restoran,4.5,Promotional Priority
Danau Situ Bagendit,3,2,0,1,66.67,0.0,33.33,Danau,4.4,Insufficient Evidence
Darajat Pass,191,182,1,8,95.29,0.52,4.19,,4.5,Promotional Priority
De Wisdom Garut,72,67,0,5,93.06,0.0,6.94,Tujuan Wisata,4.3,Promotional Priority
Desa Wisata Mulakeudeu,5,5,0,0,100.0,0.0,0.0,Tujuan Wisata,4.7,Insufficient Evidence
Desa Wisata Saung Ciburial,45,41,2,2,91.11,4.44,4.44,Tujuan Wisata,4.5,Promotional Priority
Desa Wisata Sindangkasih,60,59,0,1,98.33,0.0,1.67,Tujuan Wisata,4.7,Promotional Priority
Desa Wisata Situ Cangkuang,11,11,0,0,100.0,0.0,0.0,Tujuan Wisata,4.7,Promotional Priority
Desa wisata,4,4,0,0,100.0,0.0,0.0,Pusat Informasi Pariwisata,5.0,Insufficient Evidence
Domba House Lasminingrat,66,62,0,4,93.94,0.0,6.06,Restoran Sate,4.5,Promotional Priority
Edu Wisata Perlebahan Gunung Guntur,67,65,0,2,97.01,0.0,2.99,Tujuan Wisata,4.7,Promotional Priority
Es Goyobod Ude,13,12,0,1,92.31,0.0,7.69,Restoran,4.6,Promotional Priority
GAPURA JAGAPATI,1,1,0,0,100.0,0.0,0.0,Tujuan Wisata,4.8,Insufficient Evidence
Garland Barnville,350,320,2,28,91.43,0.57,8.0,Restoran,4.4,Promotional Priority
Ghina resto,5,5,0,0,100.0,0.0,0.0,Pujasera,4.6,Insufficient Evidence
Glamping Villa by Sabda Alam,333,329,0,4,98.8,0.0,1.2,,4.9,Promotional Priority
Gumuk pasir garsel,6,6,0,0,100.0,0.0,0.0,Titik Pemandangan,4.8,Insufficient Evidence
Gunung Papandayan Garut,304,296,0,8,97.37,0.0,2.63,Tujuan Wisata,4.7,Promotional Priority
Gunung Putri Intan Dewata,7,4,2,1,57.14,28.57,14.29,Tujuan Wisata,4.3,Insufficient Evidence
Gurun Pasir Tungtung Karang,7,7,0,0,100.0,0.0,0.0,Tujuan Wisata,4.6,Insufficient Evidence
Gurun Sahara Pantai Sayang Heulang,9,9,0,0,100.0,0.0,0.0,Tujuan Wisata,4.8,Insufficient Evidence
Hanjuang Hot Spring by Tirtagangga,219,215,0,4,98.17,0.0,1.83,Kolam Renang,4.6,Promotional Priority
HdG Kampung Amsterdam Dayeuh Manggung Garut,7,7,0,0,100.0,0.0,0.0,Tujuan Wisata,4.3,Insufficient Evidence
Hutan Kota Guntur,4,2,0,2,50.0,0.0,50.0,Taman,4.0,Insufficient Evidence
