destination_name,total_reviews,positive_count,neutral_count,negative_count,positive_percentage,neutral_percentage,negative_percentage,category,average_rating,policy_class
Pantai Cicula BW,2,2,0,0,100.0,0.0,0.0,Pondok,4.4,Insufficient Evidence
Pantai Cidahon,2,2,0,0,100.0,0.0,0.0,Tujuan Wisata,3.8,Insufficient Evidence
Pantai Cidora,29,28,0,1,96.55,0.0,3.45,Pantai,4.4,Promotional Priority
Pantai Cieurih,2,2,0,0,100.0,0.0,0.0,Pantai,4.3,Insufficient Evidence
Pantai Cijeruk Garut,66,64,1,1,96.97,1.52,1.52,Pantai,4.6,Promotional Priority
Pantai Cijeruk Indah,34,33,1,0,97.06,2.94,0.0,Pantai,4.3,Promotional Priority
Pantai Cijeruk Indah Garut,34,33,1,0,97.06,2.94,0.0,Tujuan Wisata,4.6,Promotional Priority
Pantai Cikaso Bungbulang,16,15,0,1,93.75,0.0,6.25,Tujuan Wisata,4.5,Promotional Priority
Pantai Cikolomberan Sancang,10,9,0,1,90.0,0.0,10.0,Tempat Acara Memancing,4.9,Promotional Priority
Pantai Cipancong,3,3,0,0,100.0,0.0,0.0,Tujuan Wisata,4.8,Insufficient Evidence
Pantai Cipunaga,2,2,0,0,100.0,0.0,0.0,Cagar Alam,4.5,Insufficient Evidence
Pantai Citanggeuleuk,148,144,1,3,97.3,0.68,2.03,Tujuan Wisata,4.7,Promotional Priority
Pantai Ciwaas,2,2,0,0,100.0,0.0,0.0,Tujuan Wisata,5.0,Insufficient Evidence
Pantai Gunung Geder Cikelet,11,11,0,0,100.0,0.0,0.0,Tujuan Wisata,4.2,Promotional Priority
Pantai Gunung Sulah,3,3,0,0,100.0,0.0,0.0,Taman bermain,4.9,Insufficient Evidence
Pantai Karang Papak,226,215,1,10,95.13,0.44,4.42,Tujuan Wisata,4.6,Promotional Priority
Pantai Karang Paranje,54,53,0,1,98.15,0.0,1.85,Tujuan Wisata,4.4,Promotional Priority
Pantai Karang Tepas,14,14,0,0,100.0,0.0,0.0,"Pantai, Tujuan Wisata",4.5,Promotional Priority
Pantai Manalusu,35,34,0,1,97.14,0.0,2.86,Pantai,4.5,Promotional Priority
Pantai Muara Cikelet,1,1,0,0,100.0,0.0,0.0,Taman Rekreasi Air,5.0,Insufficient Evidence
Pantai Muara Kerinduan,7,5,0,2,71.43,0.0,28.57,Tujuan Wisata,4.3,Insufficient Evidence
Pantai Papandayan,1,1,0,0,100.0,0.0,0.0,Pantai,4.3,Insufficient Evidence
